2019-12-29 00:00:32.408 [http-nio-8080-exec-6] INFO  com.lgq.controller.SiteIconController - FrancisBlog: addSiteIcon -> {"siteIconColor":"","siteIconDescription":"肥肥肥","siteIconName":"QQ","siteIconUrl":"sdasa","siteIconValue":"#icon-QQ"}
2019-12-29 00:00:32.516 [http-nio-8080-exec-10] INFO  com.lgq.controller.SiteIconController - FrancisBlog: getAllSiteIcon
2019-12-29 00:01:01.635 [http-nio-8080-exec-2] INFO  com.lgq.controller.SiteIconController - FrancisBlog: getAllSiteIcon
2019-12-29 00:01:01.771 [http-nio-8080-exec-8] INFO  com.lgq.controller.SiteController - FrancisBlog: getSiteInfo
2019-12-29 00:01:01.776 [http-nio-8080-exec-8] INFO  com.lgq.service.impl.SiteServiceImpl - DAY_PAGE_VIEW_PREFIX-2019-12-29
2019-12-29 00:01:01.781 [http-nio-8080-exec-3] INFO  com.lgq.controller.SiteTagController - FrancisBlog: getAllSiteTag
2019-12-29 00:03:27.772 [http-nio-8080-exec-6] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogList:1
2019-12-29 00:03:29.036 [http-nio-8080-exec-10] INFO  com.lgq.controller.TokenController - FrancisBlog: getToken
2019-12-29 00:03:29.040 [http-nio-8080-exec-1] INFO  com.lgq.controller.CategoryController - FrancisBlog: getAllCategory
2019-12-29 00:03:29.040 [http-nio-8080-exec-2] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogById: blog_id:1
2019-12-29 00:03:29.088 [http-nio-8080-exec-2] INFO  com.lgq.service.impl.BlogServiceImpl - null
2019-12-29 00:03:29.192 [http-nio-8080-exec-2] INFO  com.lgq.service.impl.BlogServiceImpl - 61
2019-12-29 00:03:43.070 [http-nio-8080-exec-8] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogList:1
2019-12-29 00:03:46.124 [http-nio-8080-exec-3] INFO  com.lgq.controller.TokenController - FrancisBlog: getToken
2019-12-29 00:03:46.128 [http-nio-8080-exec-4] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogById: blog_id:2
2019-12-29 00:03:46.128 [http-nio-8080-exec-5] INFO  com.lgq.controller.CategoryController - FrancisBlog: getAllCategory
2019-12-29 00:03:46.140 [http-nio-8080-exec-4] INFO  com.lgq.service.impl.BlogServiceImpl - null
2019-12-29 00:03:46.164 [http-nio-8080-exec-4] INFO  com.lgq.service.impl.BlogServiceImpl - 1
2019-12-29 00:03:48.617 [http-nio-8080-exec-7] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogList:1
2019-12-29 00:03:49.807 [http-nio-8080-exec-9] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogList:2
2019-12-29 00:03:51.211 [http-nio-8080-exec-6] INFO  com.lgq.controller.TokenController - FrancisBlog: getToken
2019-12-29 00:03:51.211 [http-nio-8080-exec-10] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogById: blog_id:5
2019-12-29 00:03:51.215 [http-nio-8080-exec-6] INFO  com.lgq.controller.CategoryController - FrancisBlog: getAllCategory
2019-12-29 00:03:51.223 [http-nio-8080-exec-10] INFO  com.lgq.service.impl.BlogServiceImpl - 1577549026140
2019-12-29 00:03:51.227 [http-nio-8080-exec-10] INFO  com.lgq.service.impl.BlogServiceImpl - 1
2019-12-29 00:04:27.500 [http-nio-8080-exec-2] INFO  com.lgq.controller.BlogController - FrancisBlog: getBlogList:1
2019-12-29 00:04:30.404 [http-nio-8080-exec-8] INFO  com.lgq.controller.SiteIconController - FrancisBlog: getAllSiteIcon
2019-12-29 00:04:53.878 [http-nio-8080-exec-7] INFO  com.lgq.controller.SiteIconController - FrancisBlog: addSiteIcon -> {"siteIconColor":"","siteIconDescription":"大傻子","siteIconId":2,"siteIconName":"微信","siteIconUrl":"https://www.google.com.hk/","siteIconValue":"#icon-weixin"}
2019-12-29 00:04:54.135 [http-nio-8080-exec-9] INFO  com.lgq.controller.SiteIconController - FrancisBlog: getAllSiteIcon
2019-12-29 00:05:05.625 [http-nio-8080-exec-1] INFO  com.lgq.controller.SiteIconController - FrancisBlog: addSiteIcon -> {"siteIconColor":"","siteIconDescription":"真聪明","siteIconId":3,"siteIconName":"陌陌","siteIconUrl":"https://www.google.com","siteIconValue":"#icon-momo"}
